node,score,step_added
PFKP,1.4005500144756767e-08,1
PFKL,5.280491140419029e-11,2
PFKM,1.6918416446106183e-13,3
ALDOC,6.572091560067283e-16,4
ALDOB,3.697855247637548e-18,5
ALDOA,1.2909047198988583e-20,6
TKTL2,8.954059748292174e-23,7
TKTL1,3.4672611226167878e-25,8
PGAM4,1.8735737220724697e-27,9
PGAM1,6.227807065750491e-30,10
TKT,3.452649154066155e-32,11
TALDO1,6.844238733092689e-34,12
ENO3,5.390316989005906e-36,13
PGAM2,1.471442112626424e-37,14
PGK2,6.2999368467212015e-40,15
ENO4,1.6202769898949095e-42,16
GPI,6.502661962098542e-43,17
TPI1,1.2370897411155621e-44,18
ENO2,6.318252394179171e-46,19
BPGM,1.1310866860528007e-48,20
